username,date,comment,Sentiment Score,Sentiment
@AmandeepSingh-zc7lv,2024-11-03T20:12:52Z,ਮੂਰਖ ਲੋਕ ਭੁੱਲ ਜਾਂਦੇ ਹਨ ਕਿ ਇਸ ਬ੍ਰਹਿਮੰਡ ਦੇ ਮਾਲਿਕ ਰੱਬ ਜੀ ਹਨ। ਸਾਧਾਰਣ ਮਨੁੱਖ ਰੱਬ ਜੀ ਦੇ ਦਾਸ ਹੂੰਦੇ ਹਨ। ਦਾਸ ਦਾ ਕੰਮ ਹੁੰਦਾ ਹੈ ਰੱਬ ਜੀ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨਾ। ਜਿਹੜੇ ਦਾਸ ਰੱਬ ਜੀ ਦੇ ਹੁਕਮਾਂ ਦੀ ਪਾਲਣਾ ਨਹੀਂ ਕਰਦੇ ਰੱਬ ਜੀ ਉਨ੍ਹਾਂ ਨੂੰ ਸਜ਼ਾ ਦਿੰਦੇ ਹਨ।,0.0,Neutral
@rohma220,2024-11-03T17:01:07Z,इन सभी समस्याओं का एक ही हल है — हमें अपनी इंद्रियों पर नियंत्रण करना सीखना होगा। और अपने कर्मों का केंद्र जनकल्याण को बनाना होगा।,0.0,Neutral
@santkumar-qb7nr,2024-11-02T16:56:37Z,"Atom ⚛️ has misbehaved with global power. So there seems like no global gobles 😢power it's believable, please",0.0679,Positive
@camiloruizcastellar4740,2024-11-02T14:40:31Z,"Asking big tech to be responsible while doing nothing at all to stop them is like my girlfriend asking me to stop while she laughs when I'm pounding on her parents room. 
If you don't get angry the pounding is never gonna stop, but americans are so distracted by race, gender and any other nonsense that is so easy for influential people to get away with borderline ilegal practices.",0.6351,Positive
@thathvamsaswatham8243,2024-11-02T09:39:25Z,"India was under Slavery for nearly 400 years. All Mohaddans and Britishmen looted INDIA ,by more than 30 trillions. We will not forget. 
As American's sow, soweth they reap?",-0.629,Negative
@shriprakash3953,2024-10-31T12:30:13Z,"The World has from being self-consciously unipolar become more and more multipolar, forcing the traditional powers to set terms for the rise of new blocs and groups. BRICS, SCO, BIMSTEC, ASEAN, OIC, African Union, OAS etc have to be factored in when considering International Relations today. The evolving situation therefore needs a far more complex analysis of the contemporary situation today than ever before.               Dr. Shri Prakash",0.0,Neutral
@yaltimimi,2024-10-31T06:02:53Z,"The US is never interested in world “policing”. They are executing agenda in a police uniform, just a corrupt police",-0.3089,Negative
@jijus616,2024-10-30T22:45:25Z,India,0.0,Neutral
@WalihashimZakhilwal,2024-10-30T20:03:36Z,Hello Sir . Good information . Thinks,0.4404,Positive
@francheskalong9728,2024-10-30T19:44:37Z,Why he’s screaming? Due to dispersion?,-0.4515,Negative
@tustak,2024-10-30T12:47:38Z,Most leftish propaganda I have heard ...,-0.3134,Negative
@craig3916,2024-10-30T09:27:23Z,this Ted talk is drivel and is as ridiculous as its speakers dress sense n jokes.thankyouverymuchgoodnite.,-0.3612,Negative
@MichaelBoyers,2024-10-30T07:35:09Z,It still is the cabalists from the club of rome,0.0,Neutral
@fk4410,2024-10-29T23:48:33Z,"The EU is killing itselve and it competitiveness with all the new rules lol I an from Austria. 
Germany is going downhill and with Germany Austria and the whole EU",-0.3818,Negative
@12345Kainan,2024-10-29T18:45:49Z,"The humans have built a drama in the name of democracy where candidates play out almost childishly about a list of issues. That never actually gets solved,  there is some progress in the truly empirical initiatives before them being scrapped by the next administration.

It almost promulgates a false narrative contrary to the natural human nature. Which is humans are never as bilateral as the political candidates pretend to be. 

There is absolutely no room for discussion which may appear as a sign of weakness to the average voter. They must reject every single idea that is proposed by the opposition. 

It is the great act of playing out a rivalry drama whose cornerstones are made up of shallow and irrational ideologies of religion, caste region, language and so on. 

Everybody votes based on one of the above associations rather than on the basis of any practical solution to the major problem, that is efficiency of the system. 

The solution is actually very dangerous to the current ruling class. As it would seek their elimination, the elimination of voting candidates almost without any criteria other than birth. 

It doesn't look at the administrative capabilities of those individuals and have an entry mechanism that is very vulnerable to a hack. 

Hence famous goons, with political support can garner a false image, openly manipulate the majority and win a seat. 

There is absolutely no test of criterion for the propensity for administration in these candidates. 

There is no test of motive for these candidates. 

Most ruling personnel are nepotistically embedded into the ruling system. A system heavily manipulated to accommodate a group of people that mostly have self interest as priority. 

Young ambitious people must be put into these positions based on their mental capacity. And formulate actual mathematical solutions with an error margin and execute them with an iron fist.",0.7731,Positive
@dixonbuttes6564,2024-10-29T14:46:27Z,"This talk has a bunch of great points, but it’s a little too much of a religion-style sermon than a TED Talk should be… 🤔",0.3716,Positive
@sivas-jr1zq,2024-10-28T18:23:28Z,Iam an Indian and I am proud of myself,0.4767,Positive
@Blissfulbelief,2024-10-28T09:16:06Z,"They are not becoming dependent on USA, the US is making them to be dependent on US.",0.0,Neutral
@vidyottamarya6797,2024-10-28T03:16:19Z,"Power corrupts, absolute power corrupts absolutely",0.0,Neutral
@cedrickmathekga6902,2024-10-27T18:19:22Z,Thanks Jim & Blake.,0.4404,Positive
@VeeraPulavar-f4d,2024-10-27T14:42:03Z,Social media is the next superpower,0.0,Neutral
@govindraj28,2024-10-27T13:20:11Z,😂😂😂,0.0,Neutral
@navadeep000,2024-10-27T08:44:04Z,Trust Bharat country it is place for humanity & peace .,0.7783,Positive
@tedmusson5179,2024-10-27T04:37:12Z,4:58 sounds like the protection racket Smedley wrote of.,0.3612,Positive
@tedmusson5179,2024-10-27T04:27:53Z,Second globule of bs at 1:47. It is obvious at this point  that Russia is not in decline,0.0,Neutral
@tedmusson5179,2024-10-27T04:25:22Z,First bs at 1:10. U$ has always wanted to rule the world.,0.0,Neutral
@jackwhupage,2024-10-27T01:46:43Z,It’s interesting because we are seeing in this US election the influence of technology. Could this be the start of the digital order and influence in governmental policy moving beyond..?,0.4019,Positive
@sanjeevbhatia1582,2024-10-26T06:49:56Z,Life is wholey physical n digital is part of life not whole,0.0,Neutral
@brianbozo2447,2024-10-25T21:53:02Z,The US did not want to be the sole superpower? What a blatant lie.,-0.0572,Negative
@grumpy9478,2024-10-25T18:17:40Z,"this Digital Order is fundamentally a technique to treat humans (& humanity generally) as discrete transfer functions in which quantified elements are immensely more influential (""valuable"") than qualities. technology trends accelerate, broaden & magnify. Digital Order seeks to dominate where critical transfer functions reside.
given generation / extraction / application of digital transfer processing is increasingly the focus of wealth (& ""power""), the trend towards concentration of human endeavor upon virtualized processing (in comparison w/ underlying physically tangible elements) is likely to exponentially increase an imbalance. this is a product of very rapid interaction among 2nd & 3rd order consequences as well as direct action.
over-investment (across all human enterprise) in such highly quantified & wealth-centric non-physical processes, unbalanced in value (much less virtue) relative to the material human domain (including a physical product of evolution... human emotion) will yield significant risk of wide scale failure of the human endeavor.
I suppose there's nothing new in that, though self-correction & somewhat good fortune appears to not quite keep up these days. {admittedly, there's a Near-Far issue} humans seem to run open-loop, being evolved that way & getting away w/ it until the last 150 yrs or so. cheers!",0.9369,Positive
@laptoplaptop-i8k,2024-10-25T10:33:08Z,world's most organised terrorist group is cia,-0.7165,Negative
@goldengrove7349,2024-10-25T08:35:53Z,"This was an excellent presentation on the probable evolution of The Old Regimes of power. Just as the elite did not factor in 2016 Trump, this presentation does not factor in the rise of the BRICS and Africa who will soon control the lion share of commerce. This will be due to  natural resources and population which makes the world go 'round!",0.8268,Positive
@hydidon3019,2024-10-24T21:26:09Z,"200000 Russian troops are dead?
What is he smoking?",-0.6868,Negative
@Zaineb-t4d,2024-10-24T18:57:57Z,"If i could think that the big famous figures of this world united together could control the world whether it be politics,social media or business then someone way before me must have done too and created that eye in the triangle community.",0.5859,Positive
@kaczynski2333,2024-10-24T01:28:59Z,Thats aging really badly; and it's only been a year.,-0.5256,Negative
@ahmmedimtiaz2481,2024-10-23T17:32:51Z,Nice explanation 😊,0.4215,Positive
@princecampbell3620,2024-10-23T13:45:40Z,"It is written ""if Jesus did stop mankind for the righteous, mankind would wipe out the human race.",-0.296,Negative
@lancebrandonsherriff629,2024-10-23T12:52:46Z,"The collapse of all 'empires' in the Northern Hemisphere e.g. USA, UK, India-region, China etc. was prophesied one hundred years ago by our Boer Prophet; & the collapse of black revolutionary rule of South Africa & the rise of a new 'Boer Nation' from SA right up to the Equator in Africa; also the rise of Germany again.",-0.7506,Negative
@davidvan3197,2024-10-23T06:14:00Z,"Dear People, Read The Bible to see who is in control. The one who is will come to an end, The One to Come will Remain. Now, Read The Bible, with an open mind and humble heart.",0.3818,Positive
@benwoyvodich8676,2024-10-23T00:08:28Z,This seems a fairly shallow understanding of the situation,0.0,Neutral
@QualityProjects,2024-10-22T21:08:11Z,"Compare countries to countries not to technologies. There will NEVER be a digital order but companies and countries will continue leveraging digital techs to their advantage as usual like any other technology.

Ted is where anybody can talk but not all of them can be right.",0.6956,Positive
@UmarZaman-os3fn,2024-10-22T09:17:17Z,China,0.0,Neutral
@NickholasWilson-wv5rm,2024-10-22T03:36:40Z,Obama didnt want amerca to be inpower anymore so he devided amercia and empowered Iran,-0.0572,Negative
@Lamentable5,2024-10-22T00:52:54Z,What kind of a conspiracy buff is this?,-0.5709,Negative
@duxiuchen4132,2024-10-21T16:28:29Z,一个很平庸的演讲，只是把流行的概念拼筹和夸大，并用一个抓人眼球的标题。比如说，如果是北约的科技公司帮助乌克兰抵御了所谓的俄罗斯网络攻击，让泽林斯基能和前线的将军和士兵通话，让乌克兰不至于完全离线。那为什么北约的科技公司不帮助乌克兰对俄罗斯进行网络攻击？让普京不能与前线的俄罗斯将军和士兵通话？这样岂不是既阻止了侵略又避免了大规模的人员伤亡？这些全是演讲者想象出来的情景，只是为了切合他所谓的数字秩序这一主题。这种标新立异的观点，唯一的意义就是吸引关注，获得流量。,0.0,Neutral
@cool7654321,2024-10-21T05:22:00Z,put playback speed to 1.5x,0.0,Neutral
@HugoLouis-to3vt,2024-10-21T00:08:10Z,"excellent, Ian Bremmer, as usual 😉",0.5719,Positive
@karantiwari6775,2024-10-20T20:05:13Z,"I can see your bias, mostly inclined towards west.",-0.1027,Negative
@ramilcastro7992,2024-10-20T03:39:41Z,Maybe the Philippines is the next super power! We don't know.,0.636,Positive
@TheMengalvio,2024-10-19T20:20:00Z,"Wrong mister. No insurrection in Jan 7, in Brazil. No one. You do not know nothing about Brazil. Sorry.",-0.7413,Negative
@vasugarg5107,2024-10-19T10:39:42Z,India will be the next the next world order,0.0,Neutral
@asmr_rico,2024-10-19T05:36:15Z,India： It's me ！,0.0,Neutral
@MYoutube8,2024-10-18T08:05:52Z,"I have not heard AI in this speech, meaning that you have no clue what the heck is coming for the future.

It's not the digital order, it's the AI Order that will rule... everything.",-0.296,Negative
@Bobmailly,2024-10-18T05:03:05Z,In 30 years when the global climate collapses none of this crap will matter,-0.6249,Negative
@jjayaraman3191,2024-10-17T08:29:27Z,"Bold intelligent summary of.
Security order
Economic order 
Aetificial Intelligence order.
Must it Can it SHOULD it feed on advertising revenue model that regards humanity at a discount and alpha&numbers as Epitome of life?",0.8779,Positive
@henriquebayma817,2024-10-17T06:35:42Z,"""The United States increasingly didn't want to be the world's policeman"" sure...",0.3773,Positive
@квітиприрода,2024-10-16T21:07:26Z,I hope that people will make the right choice and we all will have a more fair society.,0.6697,Positive
@ammiel9933,2024-10-15T10:17:17Z,It was JENNIE all along. STREAM MANTRA.,0.0,Neutral
@DanaSpasojevic-r8e,2024-10-14T11:25:28Z,GOD IS IN POWER...,0.2732,Positive
@KoriseraInterior,2024-10-14T01:21:55Z,"개똥을 싸네 민주당이랑 영국 왕실에 성폭력자 게이가 많아서 지지율 올리려고 전쟁하는 거면서. 누구 기술에 의지하나요? 표절해킹, 반대인거같은데.  처참하다. 전쟁해도 쥐어짜지지않는 미국 민주당 지지율. 싸이클 바뀔 때가 된거 같네. 리더는 PAX COREANA. PEACEFUL BUDDHISM AND SCIENCE, OBEDIENCE TO HEAD KOREA AND DISARMAMENT, BY SOFT POWER. U.S. IS NOT A SOFT POWER. EU IS NOT A. SOFT POWER. CHINA/JAPAN. NOP. PAX COREANA.",0.6037,Positive
@จิตบรรจง-ค8ณ,2024-10-13T08:06:14Z,I am Good 👶,0.4404,Positive
@delonthomas5049,2024-10-13T00:07:15Z,Who run the world ...its called G..O.D.....guns oil drugs = god ...if u think am lying ...the truth is there to see..if you wants to live a good life ..its very tuff to get there and stay there ...its tuff to be alived out here,0.4404,Positive
@lorilos-c2t,2024-10-12T22:19:47Z,"Artificial General Intelligence will one day decide what purpose, if any humans will have on this planet. AI will probably determine what we think and how we vote even before that.",0.4767,Positive
@seba1435,2024-10-12T19:56:29Z,No matter who rules the world it is us who are in power! We are the people who rule the world! We are the New Rulers! We can achieve more!,-0.5053,Negative
@ZacA60423,2024-10-11T18:44:47Z,why umbralla use iron dom of usa,0.0,Neutral
@thijsg8549,2024-10-09T13:15:37Z,This guy has the dicton of an intellectual trump,0.5106,Positive
@fredschoemaker7042,2024-10-08T20:07:29Z,"Dr K F SOCCER S-P-C KNOWS
THE CLIMATE-CHANGER GOD-ROCK KNOWS 
THE PLANET IS IN CHARGE 
THE PLANET HAS A 50 YEAR CYCLE
THE PLANET HAS 2 SEISMIC SHIFTS IN A 25 PER
EVERY 50 YEARS MAJOR TECTONIC PLATES CRACKING MAJOR VOLCANIC-EARTHQUAKES MAJOR VOLCANIC-SMOG ERUPTIONS DAILY AND MAJOR INFECTIOUS DISEASES PANDEMIC MAJOR EXTREME WEATHER EVENTS AROUND THE ENTIRE WORLD IN 50 YEAR CYCLE 
DR K F SOCCER S-P-C KNOWS",0.0,Neutral
@shivkurade5653,2024-10-08T17:56:59Z,Great analysis 👌,0.6249,Positive
@Diasporareport,2024-10-07T01:45:02Z,This assessment is very inaccurate,0.0,Neutral
@josephnakale7343,2024-10-06T16:04:49Z,"Some where along the line i just lost interest and stop listening from this chap, seems deeply propangandized to the core.",-0.128,Negative
@abhay0683,2024-10-06T14:54:51Z,why super power are selling the weapons to other countries and keep war to fought with sold weapons. superpower dont want to stop the sell of weapons. they never want war to be stopped. they dont want diplomatic resolutions to war.,-0.9611,Negative
@wianserfontein9462,2024-10-06T11:12:30Z,Terrible Orator!  And that’s it!,-0.5696,Negative
@JanisFroehlig,2024-10-05T21:40:39Z,Mastodon (and federated platforms) FTW.,0.5766,Positive
@kazech5225,2024-10-05T07:29:50Z,I like when he smartly inserted false leftist narrative about trump.,0.6124,Positive
@amazingshortss113,2024-10-04T04:30:01Z,I thought next generation indian genaration,0.0,Neutral
@lawrencecole6527,2024-10-04T03:18:44Z,"Democracy means; ""Violent Military Action"".",-0.5994,Negative
@lawrencecole6527,2024-10-04T03:17:19Z,Is it Africa?,0.0,Neutral
@sivasankaripg3715,2024-10-03T18:33:57Z,Democracy slowly becomes capitalistic which tries to become communist but end up with dictatorship(Monarchy) And this repeats like a cycle!,0.5487,Positive
@jasimxyz7611,2024-10-02T22:51:15Z,"Arrogant and too much pride bring destruction and humanity is first.
We should not do too much  proud on wealth  powers and health.
Peace and peace",0.8316,Positive
@lmacdonald1281,2024-10-02T21:09:39Z,"Simplify, Embrace nature, Nurture and Pay it forward.",0.5106,Positive
@bb57365,2024-10-02T19:23:48Z,All depends on how it affects their bottom line.,0.0,Neutral
@SuperViktube,2024-10-02T05:39:08Z,"Thanks random guy on YouTube for predicting , that computers cannot predict.",0.4404,Positive
@SydneyValette,2024-10-01T11:37:16Z,The man is too much,0.0,Neutral
@szzzz..1760,2024-10-01T09:41:52Z,"Colonization loot is not forever, the west is already declining , In1950s China and India will surpass  USA in 1950..",0.0,Neutral
@josephstanle9115,2024-09-30T15:03:23Z,USA still leading the dimension power because the always further ahead with technology the American they spending money on lasers and robots we moving ahead and one day in further they moved from this earth always we are just a few and enmengention that we no humans they build by robots what I believe this all technology,-0.296,Negative
@SwarupAdhikari-y4b,2024-09-30T14:32:43Z,"Conclusions 2 are here , 1 We are livealone in the MOSTLY BLACK EMPTY VACCUAM(We called it 'SPACE')
2 Another thing/civilization whatever we called it liive with here
...we/they could not COMMUNICATE each-others because of GARGANTUA SCALE OF DISTANCE'S.Who we are???😲🌌",-0.4719,Negative
@spacecowboy8532,2024-09-30T12:12:42Z,This was lame af.,-0.4215,Negative
@dermotmcnally499,2024-09-30T08:48:14Z,"Ditto, the US have never stopped it's dirty tricks to influence other Countries elections",0.3761,Positive
@Ziggyc54,2024-09-30T07:51:59Z,"Lol. With Global Warming gathering steam, ants will be the next superpower. Or termites. Or moles. Anything that lives underground and probably has the genetic survival skills from last few extinction events. And they will probably go to war to become the dominant species.",-0.128,Negative
@davecloony5404,2024-09-30T00:50:45Z,It all boils down to who the world leaders are and what they are made of. We need leaders who are willing to sacrifice and to be selfless. These two prominent qualities have been taken lightly by the politicians around the world and the result is that our world is a complete mess now!,-0.126,Negative
@extraincomesuz,2024-09-29T23:38:05Z,"Terminator Order...that's why the US and China are racing toward Quantum physics.  Whoever cracks the code will be unstoppable online as there are no secrets in the Quantum realm.  This is why there is such a push back against making entire home systems and cars digitally connected.  One Quantum computer could control every electronic in your home, your bank account, and know everything that you have ever posted online.  **As I throw my phone across the room **",-0.4588,Negative
@apuuvah,2024-09-29T17:53:23Z,It is.,0.0,Neutral
@meganwynn372,2024-09-29T10:57:39Z,Its not Sigourney Weaver?,0.0,Neutral
@t.kaystkays6514,2024-09-29T07:45:02Z,However in china the state controls them whoever has control is the one with the power,0.0,Neutral
@hayleylewis1458,2024-09-29T05:57:19Z,The Next Global Superpower is Bitcoiners!,0.0,Neutral
@LisaMitchell-f8e,2024-09-28T21:17:55Z,This kind of power in the hands of a few. A very few possibly unhinged individuals.  Scary,-0.4939,Negative
@LisaMitchell-f8e,2024-09-28T21:05:07Z,India?,0.0,Neutral
@raymonddee1059,2024-09-28T20:20:45Z,they b liable and alow to be sued,0.0,Neutral
@toogto,2024-09-28T19:10:56Z,We are all fucked,-0.6597,Negative
@rodives8844,2024-09-28T12:04:35Z,🎉Thr views of this US lackey have been proven to be totally wrong twelve months later.,-0.5256,Negative
@MichaelJohnson-oi2rb,2024-09-27T18:32:37Z,"what a crock of bull, race racism and racists have been the the driving force behind the unraveling of european dominance",-0.7783,Negative
@theundertaker183,2024-09-27T11:03:23Z,The yankee oil barons rule. The UN is the military 🪖 arm of the oil barons.  🛢 all wars are oil wars.,-0.802,Negative
@user-ub7bg6eu2l,2024-09-27T10:48:30Z,Set speed to 1.2. You're welcome. :),0.7184,Positive
@steernkieker,2024-09-26T20:37:01Z,"1 year later, the reality shows that knowitalls like this guy are just entertainers, selling tickets for their performances....",0.5423,Positive
@John14Six-r8e,2024-09-26T18:58:34Z,DOD funding is behind it all.,0.0,Neutral
@Colleen0862,2024-09-26T14:24:18Z,India I bet,0.0,Neutral
@scottchristianson9968,2024-09-26T10:46:44Z,"He is almost correct on how the world is,.he forgot a very important part God",0.5356,Positive
@raghdamoataz8428,2024-09-26T10:39:59Z,Oh so America was pushed to be the leader because it had to poor America? Come on. America is hungry for power and it succeeded through propaganda and bullying the rest of the world!,-0.7574,Negative
@kahueranepia8656,2024-09-26T09:12:51Z,He is forgetting the shipping lines to move this technology products across the world that’s is what the super powers are fighting for and Russia and China knows this so they are going around Europe and making there own shipping line so they don’t have to go through Europe America knows this so America is raging war against Russia China and there allies in the eastern countries that is the fight or war that’s going on now,-0.9129,Negative
@bobzacamano658,2024-09-26T02:27:04Z,He said it happened 15 years ago. 2008. Obama. Wake up people. Trump 2024 ❤Love,0.0,Neutral
@Bearcat19,2024-09-26T02:16:05Z,Easy to see whose pocket you are in!,0.4926,Positive
@richardseeto1182,2024-09-26T02:06:40Z,".BIASED, SUBJECTIVE AND WISHFUL NARRATIVE...BEST TO FORGET!!!",-0.4168,Negative
@sebastianpage4507,2024-09-25T20:55:27Z,Some of this guys takes are either incredibly stupid or maliciously deceptive. The US doesn't want to be the world's policemen or cheerleader of values? Seriously?,-0.3346,Negative
@timoteitodor2868,2024-09-25T19:41:31Z,"14:33 the US never exported a real democracy, it was always a CIA operation in destabilising Governments, creating a revolution, sometimes a war, then bring ""peace"" with a democratic government instated by the US with straw men politicians who act in the interest of the US and  against their own citizens. 
Kind of what they are doing in Ukraine right now... but whatever, you are as biased as the whol TED platform.",-0.3612,Negative
@mabalbhat9392,2024-09-25T19:39:39Z,"With huge data real and unreal, human's ability decipher real is vanishing. With too many distractions, our mind is seeking and trusting AI to provide answers. Hope super AI will guide us to a democratic world with better understanding and prosperity.",0.9325,Positive
@adarshguptak,2024-09-25T18:33:24Z,"US increasingly didnt want to be the world's policeman""? You mean, the global thief? After looting the whole world, the thieves got together and created a United Nations to stop reverse-colonization.",-0.689,Negative
@markjohnston7285,2024-09-25T17:44:34Z,#2 about China is not the correct characterization.  The west was hopeful they would Liberalize.  Obviously they wouldn’t become American.   They are authoritarian and that’s the problem.,0.1531,Positive
@imranghaznavi818,2024-09-25T17:17:37Z,Mad man full of madness,-0.7269,Negative
@nicolassorg7335,2024-09-25T03:56:09Z,"13:18 i thought he was gonna say and ""we need to eat them""",0.0,Neutral
@frankhoffman3566,2024-09-25T03:04:15Z,"Complete bald speculation about what's ahead.  I've read thousands of articles in my long life about what's ahead and none predicted the world of today..   The best one can do is ignore these self described prognosticators,  then just see what happens and try to adapt to it. This guy has no special knowledge or sensitivity.",0.4939,Positive
@Fokko,2024-09-25T01:10:25Z,"I predicted Algorithm is causing Armageddon more then 7 years ago already, where is my Nostradamus Award⁉️",0.0,Neutral
@43Disciple,2024-09-25T00:29:20Z,Beautifully stated,0.5719,Positive
@ddb0831,2024-09-24T23:26:53Z,Waste of time. He didn’t answer the question.,-0.4215,Negative
@sweettony9359,2024-09-24T20:43:36Z,"There is one major factor missing in his equation and that is the coming climate chaos.  How is his global power going to change when Bangladesh is under water or crops can't be grown in the US or Russia is on fire or fresh water wars erupt between nations? Societies as we know it are no longer going to exist and we will be, quite literally, swimming in waters we have never swum in before. The next 30 years are going to be rough and ugly and, while we drive the bus off the cliff, we are arguing over who's driving.",-0.9524,Negative
@R.Michael-l9p,2024-09-24T18:58:32Z,"What we need is to bring back President Trump to establish Constitutional Government an put in place Statesman where we have Congressional Activist and Congresswomen like Omar fighting for Somalia. We need Senators and Congress to fight for America, my grandmother said greed an money is the root of all evil. Let President Trump bring back an industrial Country where we make everything which gives everyone a decent job. You do that an charge globalist enough tariff so they move to China an America wins. BYE BYE Globalist you proofed you didn't care what happen to America. Most working America want a wage to have a decent family life and save for old age. Most are not pursuing millionaire statues. happy with decent wage for the times, send kids to college, vacation 2 weeks a year and save for old age, an affordable health and dental insurance. Unfortunately, America has never achieved this, I think President Trump is our best chance to achieve that",0.7805,Positive
@R.Michael-l9p,2024-09-24T18:45:15Z,"Greed is a dangerous drug, and it is running rampant within the globalist an top 10 percent of America. They want Power and Money, and they don't mind collateral damage",-0.2668,Negative
@entertainmentplushd,2024-09-24T15:32:48Z,"Technology was always there,are you real 😂",0.0,Neutral
@toffee1889,2024-09-24T15:31:48Z,😂😂😂😂 Who's this clown,0.0,Neutral
@indexplus,2024-09-24T14:43:08Z,"Russia is winning the NATO-Russia war. If NATO was winning, the west won't be crying over it.",0.6656,Positive
@primalshift7084,2024-09-24T04:46:27Z,The next superpower will be AI,0.0,Neutral
@softhotty,2024-09-24T04:24:41Z,"You know it alls and Brainiacs are over looking ONE SERIOUS THREAT, ONE SERIOUS COMMON ENEMY to the globe. Today, there is time to unify the world because of Eco Systems collapsing, evolving. We have time, but were running out of it. POLLUTION, DISEASE & RESOURCE DEPLETION are going to be the NUCLEAR DECIMATION we all fear. The solutions are there to be discovered and implemented. We first have to recognize the significance of the global threat which today we refer to as ""Climate Change.""We will lose billions of people regardless...and surrender any influence or power to steer transition. We are headed to a MAD MAX world if we fail to act appropriately. We still have time, but is running out.",-0.9812,Negative
@Michealst1,2024-09-24T02:52:25Z,"Bigoldbolloxandbullshit this man is talking.This is what he hopes will happen .The USA owes trillions v v soon will only be paying interest, and 40% of its economy is government funded.Far far from robust, and as for Russia, well they are going from strength to strength, sanctions if anything has made Russia pull its finger out and improve everything.Russia is getting bigger and better all the while the west is going down..daily. Immigration is a cost to ANY country, the opposite to what the left would have you think. So this is why they are pushing for war.Simple.",0.9661,Positive
@Kevin-tt8fe,2024-09-24T02:16:13Z,"It’s not true that social media is only in the hands of technology companies. That maybe the case in the US, but the Chinese government (CCP) has done a pretty good job of controlling social media in China, and they are slowly inching their way into the rest of the world too. The CCP would love nothing more than to control their own narrative.",0.9358,Positive
@buttercupthepug2010,2024-09-24T01:05:01Z,Powerful monkeys with swords…but monkeys!!!!,0.6083,Positive
@RaimundoWBastos,2024-09-23T22:35:00Z,"The topic is important. The speaker is weak in knowledge and full of speculations. I came to this video with excitement and leave feeling sorry. TED, watch out for preserving your reputation please! I love TED Talks and want to see them thriving.",0.8478,Positive
@amineb.3585,2024-09-23T15:32:21Z,"What a waste of 15mins. Big words, ZERO credible information.",-0.4215,Negative
@nightwarrior5516,2024-09-23T13:18:04Z,Whya re there so many indian bote,0.0,Neutral
@human6729,2024-09-23T12:30:09Z,2:00 get it indian youth in social media wandering around. 4:30 so war benefits which nation?we know,-0.4789,Negative
@honoriotanquintic6533,2024-09-23T12:02:19Z,Whole world banks are owned by Blackrock...,0.0,Neutral
@sayajishinde8059,2024-09-23T02:27:50Z,What about deep state within USA,0.0,Neutral
@lotuspocus2165,2024-09-22T23:26:57Z,The USA is still the greatest nation on the planet 🌎,0.6369,Positive
@Terry-o9j,2024-09-22T23:06:53Z,TRUMP IS  A LEADER,0.0,Neutral
